电影名称,导演,演员,类型,简介,上映时间,头图
热血燃烧,钱国伟 张成 金鑫,陈小春 谢天华 冯萌梦 林晓峰 朱永棠 张文杰 秦沛 林德信 孙玮 刘冠霖 辜慧敏 王城,剧情 动作 犯罪,"缉毒队队员泰桦（陈小春 饰）、老米（谢天华 饰）、阿峰（林晓峰 饰）、阿棠（朱永棠 饰）是感情要好四兄弟，多年前四人参与逮捕跨国毒枭老爹（秦沛 饰），行动之前上级卢sir要求所有人上交行动电话，以便防止窃听。然而老爹收买了黑警，四人中了老爹圈套，阿峰不幸遇难，卢sir也在行动中牺牲。阿棠就彻底从警队消失，老米与泰桦之间的关系变得紧张起来。
                                    
                                　　老爹怀疑左右手老三的身份，老三在老爹身边多年，为了自保时常向卢sir提供了情报。老米与泰桦合力抓捕狗牙，老三开枪将其打死，并自称卧底说当年被老爹贿赂的不只周sir……。
                                    
                                　　泰桦、老米为了给兄弟们报仇，展开了搏斗。",2024,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2915238444.jpg
甜美生活,牛涵,徐帆 卢靖姗 艾莉克希娅·拉斯姆森 黄经汉 朱珠 田原 徐刚 薛宝鹤 张迅 张志勇,家庭,监制：宁浩,2025,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2466748005.jpg
桂花飘乡,翁子光,姚晨,剧情 犯罪,1998年春节，吴桂花夫妇被丁家兄弟寻仇，丈夫被砍伤身亡，凶手逃窜失踪，桂花从此走上长达17年的追凶与申冤之路，经过多年不断找寻线索后，终将凶手逐个找出并捕获。在追凶的过程中，桂花也逐渐完成自我的蜕变。,2030,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2560423081.jpg
少年英雄哪吒,,,奇幻,在神魔的天庭大战中，中坛元帅牺牲自己，转世投胎为哪吒。哪吒不受管教，惹来大祸。在父母感化与师父教导下逐渐成长。最后，哪吒击退暴君纣王的军队，救回父母家人，完成神魔大战与凡界救苦的神圣使命。,2030,https://img2.doubanio.com/cuphead/movie-static/pics/movie_default_large.png
又见东方神话—2024花开天下国韵新年演唱会,,,,四川卫视《又见东方神话—2024花开天下国韵新年演唱会》定档，将于2024年1月1日晚19：35播出。目前，官宣嘉宾阵容包括李宇春、张韶涵、孟佳、刘宇、罗一舟、姚琛、吴克群、GAI周延等。,2024,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2902533427.jpg
去你的岛,,,爱情 奇幻,"面包店老板王结香被一只千纸鹤带到一座神奇的小岛上，与变成兔子的失忆前男友殷显一同闯关冒险，找回殷显过去的记忆。在最后一个小屋里，他们重新经历了从相遇到分手的全过程。王结香终于放下心结，与殷显好好告别。
                                    
                                　　影片改编自番大王的同名网络小说。",2028,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2889594846.jpg
我来自北京之我爸是警察,柏杉,张子健 赵亮 牛犇 熊睿玲 杭程宇 姬晨牧 牛北壬,剧情,《我来自北京之我爸是警察》是由郭靖宇监制，柏杉执导，张子健领衔主演，牛犇、赵亮、熊睿玲、杭程宇、姬晨牧、牛北壬主演的农村扶贫网络电影。,2028,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2582751822.jpg
绝密任务,钟少雄,卢靖姗 余文乐 于文文 蒋璐霞 屈菁菁 张溯哲 朱烁燃 明子煜 褚旭 亮月儿 王飞斐 常丹丹 金丽慧子 潘羞月 朱庭辰 叶彤 凡尼达·宾蒂·伊姆兰 曹操 喻亢 杰布 于晓光 陶慧敏 周惠林 高曙光 王若麟 刘屹宸 Keno 尚馨,动作 战争 犯罪,"中国女子特战队临危受命，精英队长陈梓静（于文文 饰）率队员金凤（卢靖姗 饰）、齐燕（蒋璐霞 饰）、宁宝儿（屈菁菁 饰）全队出击，限时12小时境外极限营救！神秘人蝙蝠（余文乐 饰）狠辣强悍正邪难辨，营救任务难度远超想象。机械骨骼铠甲装备、境外恐怖组织侵扰、病毒危机、导弹威胁轮番上阵……女子特战队深陷危机泥潭，命悬一线。时间紧迫，危境当前，她们能否绝地反击，力挽狂澜？
                                    
                                　　影片根据真实事件改编，中国首部女子特战队实战电影。",2025,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2909386116.jpg
邀请函,张栾,艾伦 代斯 于谦,,故事讲述由艾伦扮演的支教老师欧晔面临支离破碎的生活、怀才不遇的境地，在机缘巧合下决定破釜沉舟带着一帮合唱团的孩子们踏上了美国的公路之旅，为了自己和孩子们的梦想上演了一出好戏……,2028,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2566623767.jpg
李时你是真顽皮,何欢 刘彬杰,魏翔 杨九郎 裴晨伟 郭小炜 宋木子 张小婉 吴骁栩,喜剧 悬疑 古装,天庆三十三年，李、宋两位太医奉天庆帝之命历经磨难寻找神药“无果”，却意外酿成大祸，两家亦因一桩盗药误会深仇暗结。多年之后，神医李阔后人李时沦落为落魄兽医，不曾想竟因在合欢楼成功救人性命而在坊间一战成名。与此同时，仇家后人宋茹雪改名换姓暗藏李时身边伺机谋杀，却不料意外受伤，在相处照料的过程中，二人心中互生情愫。手握前辈留下的寻药日记，李时与三叔李一峰、宋茹雪踏上寻觅失传已久的神药“无果”之路，三人各怀小心思，一路囧事不断，随着合欢楼头牌女子梦梵、女掌柜迎春花身份真相大白，天庆帝意外起死回生，当年的谜团终究被一一揭开……,2024,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2909279620.jpg
怒海营救,詹成霖,何政军 王子宸 刘亦彤 高曙光 丁海峰 于荣光 毛乐 侯长荣 郑恕峰 沛夕 陈奕名 尼玛央宗 郏莉莉 李颖芝,剧情 动作 战争,影片取材于海军特战队的真实生活，捍卫了国家财产和国民生命。作品情节生动，拍摄阵容强大，是一部融思想性和艺术性为一体的弘扬爱国主义的主旋律题材影片。,2026,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2902289056.jpg
密室逃生3,亚当·罗比特尔,泰勒·拉塞尔 洛根·米勒 伊莎贝拉·弗尔曼,恐怖,王朗、李菲等六个素不相识的人，因为想突破各自的人生困境，参加了项密室游戏的挑战。没想到看似普通的密室游戏，却接连出现意外，成为了有预谋的陷阱……,2026,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2911985839.jpg
撼沙,李仁港 储文明,李幼斌 黄渤 张天爱 多布杰,剧情,本片根据“时代楷模”——古浪县八步沙“六老汉”三代人先进群体治沙造林的感人事迹进行改编。再现“六老汉”困难面前不低头、敢把沙漠变绿洲以及沙逼人退，人进沙退的奋斗精神，激励人们投身生态文明建设，持续用力，久久为功，为建设美丽中国而奋斗。,2027,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2679091306.jpg
时光在意的少年,石桀锐,丁榆,剧情,"影片从1998年讲到2018年，四个少年用二十年谱写了各自的青春，他们试图去做时代里大家都喜欢的模样，却被下一股潮流狠狠地打在礁石上，十几年前，王玉用拳头让自己找到价值，大家都以义薄云天敢打架去定义着那个时代的男神；刘一鸣用打游戏技巧成为网吧男神，被送往戒网瘾机构，十几年后刘一鸣看到大学里开设了竞技专业，打游戏厉害的网红收入过千万；赵自强选择留守小镇，他喜欢披着衣服，夹着包，成为了当地自行车厂长，一时间在当地成为赫赫有名的企业家，然后二十年后的共享单车让赵自强工厂倒闭；当青春不在，你是否还有勇气去面对别人的指指点点，是否原谅时代给你的巴掌？主人公易扬一直在青春岁月里彷徨着，他一直找不到属于自己的时代，然后当三个小伙伴都各自陨落时，他还在北京一直奋斗着……，二十年后，北京匆匆的见了一面，他们很努力的找着话题，却不知从何说起……四个少年在努力追逐和寻找自...
                            
(展开全部)",2028,https://img2.doubanio.com/cuphead/movie-static/pics/movie_default_large.png
守阙者,唐唯瀚,古天乐 彭于晏 姜皓文 林保怡 林峯 郑则仕 周秀娜 王敏德 黄浩然 洪金宝,剧情,警队内务部年轻警员小拾奉命在警队内部跨部门卧底，搜集缉毒组督察车正光督察私通黑道的证据。车正光表面上以黑制黑拘捕毒枭，但实际上是为了借围捕行动为自己的恩师破除勒索陷阱。一面是意气相投的兄弟之情，另一面是身为警察的公理之义，小拾是否还能继续坚持守住绝对的“正义之门”，一场警队内部的正“邪”对决即将展开。,2026,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2900219042.jpg
一路惊奇之桃之夭夭,大卫·艾伯纳 David Ebner 马晓光 Xiaoguang Ma,王迅 娄艺潇 张睿,喜剧 爱情,院线电影《一路惊奇》 发行公司：中国电影集团公司、五洲电影发行、影联传媒,2028,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2895258278.jpg
捂着眼睛看红光 消失在老街的少年,吴博平,荣梓杉 林辰涵 邱天 米拉,剧情,新搬到老街的叶欣园（米拉 饰）百无聊赖，无意中闯入了李思奇（荣梓杉 饰）的秘密基地，发现了他正在制造火箭，叶欣园利用自己的英文优势，通过帮李思奇翻译原文书得到了一起玩火箭的机会，两人逐渐成为朋友。开学后，叶欣园发现李思奇被王湛等人欺负，而王湛对叶欣园的表姐邱晓有好感而巴结叶欣园。对邱晓心有不满的 叶欣园试图利用这次机会报复邱晓，逐渐和王湛等人走的越来越近。看到这一切的李思奇感到被叶欣园抛弃，独自继续着火箭的研究。当叶欣园再一次错过约定时，李思奇将叶欣园拍摄的邱晓和王湛的亲密照公布与众，引起了众人的愤怒，叶欣园和李思奇决裂。从此，李思奇再也没来上学，叶欣园也搬离了老街，曾经的朋友转眼各奔东西。多年后，以上大学的叶欣园得知老街要拆迁，赶回故地，和王湛等人重聚。回到秘密基地的叶欣园看着曾经熟悉的地方，泛起回忆……,2026,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2627419593.jpg
铁柱山,王丹,王劲松 黄璐 姚婉儿 陈明昊 杭盖乐队 赵燕国彰 李昊臻 樊荣 铁牛 埃米尔·库斯图里察,剧情,单亲父奥古拉顶着拮据不易的生活带着缘由对女儿善的谎言支撑着一个简易的客栈。一场黑吃黑的后遗，让奥古拉得到一箱不义之财，为爱女治病，也为生活改善。,2025,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2896768726.jpg
奇幻变形记 奇幻变型记,彭发,古天乐 刘颖仪 李莎旻子 温碧霞,动作,电影《奇幻变型记》正在拍摄中，灵感来源于《变形计》……,2030,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2505627976.jpg
盐湖计划,陆磊,吴镇宇 许君聪 盛冠森 赵子锌 关雪盈 木幡龙 佟磊 王宏亮 杜源 毛子哥,喜剧 爱情 犯罪 冒险,一个找寻丢失爱人的傻子，意外遇上一个丢失自我的痞子，两人结伴而行，一路危机四伏，笑泪相加，最终完成了各自的救赎。刘碌从一个无所事事、为生计奔波的痞子司机，在意外接手一笔特殊的生意后，卷入了一场关于真相与复仇的较量……,2024,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2914454586.jpg
密室逃生,陈卓贤,许雅婷 金尤美 蔡卓音 曹阳 小咸 韩昊轩 罗万 萧子墨,惊悚 恐怖,三个闺蜜带着朋友计划前往东南亚海岛旅游，在当地遇到“好心”婆婆被推荐输另外⼀个岛上旅游。上岛第⼀天深夜，朋友突然消失让三个闺蜜被困⼊率全冬被困期间她们经受友情和⽣命的考验，最终齐心协力成功逃出密室。,2025,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2917297872.jpg
全面失控,陈彼得,陈汉典 迟帅 陈冰 詹瑞文 宋阳 张沙沙 李雪妮,剧情 喜剧,《全面失控》讲述的是cosplay女神美琪（陈冰饰演）一心想要实现梦想却遭到刘老板（詹瑞文饰演）设计加害，美琪一心偷取刘老板的犯罪证据将其绳之于法却被卷入一场跌宕起伏的惊险之旅；另一边，刘老板的专属司机（陈汉典饰演）如常驾车接送刘老板，途中却遇上连串意外，让他情绪崩溃；与此同时，阿超（迟帅饰演）与发小天华（宋阳饰演）为了应对缤儿（张沙沙）的死亡也是绞尽脑汁，忙乱应对各种意外最终令兄弟两人疲倦不堪。众人虽然互不相识，但命运偏偏又把他们扯到一起；故事的发展离奇爆笑，蝴蝶效应令各种巧合不期而遇，只为让您笑到全面失控。,2028,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2377662199.jpg
