电影名称,类型,导演,演员,上映时间,简介,头图
欢迎来到我身边,爱情 喜剧 奇幻,宋灏霖,于适 王影璐 鸭鸭 黄炎,2024-07-05,陈小舟（于适 饰）失恋后遭遇了一场意外，从那以后他经常看到大群“嘎嘎”叫的橡皮鸭子，这给陈小舟的生活带来了巨大的阻碍。直到一位名叫冯佳楠（王影璐 饰）的女孩的出现，陈小舟惊讶地发现只要和冯佳楠在一起，鸭子就不会跑出来捣乱，一场啼笑皆非的浪漫之旅就此展开……,https://p0.pipi.cn/mmdb/54ecded771f0fa5bf171f7b5e2c249cb06df7.jpg?imageView2/1/w/464/h/644
九龙城寨之围城,动作 犯罪,郑保瑞,古天乐 洪金宝 任贤齐 林峯,2025-05-02,真人版热血番，五一档动作爽片！上世纪八十年代，恶名昭著的“三不管”地带九龙城寨中黑帮盘踞，危机四伏。一位落难青年因逃难误闯，却意外在此收获兄弟情义。与此同时，觊觎城寨许久的恶人帮掀起了一轮轮夺寨狠斗，保卫家寨的高燃热血之战随即爆发！ 本片根据余儿原著热血格斗小说《九龙城寨》改编。,https://p0.pipi.cn/mediaplus/friday_image_fe/0fa3343d80177e4ea95294453b63a668a3b16.jpeg?imageView2/1/w/464/h/644
刺猬,剧情 家庭,顾长卫,葛优 王俊凯 李萍 刘威葳,2024-08-23,一个“精神病人”如何在正常人的世界中生活？ 王战团（葛优 饰），俗世里的一位奇人，偶尔疯癫，行为古怪，却有独一份的清醒。 周正（王俊凯 饰），敏感沉默的少年人，因口吃自闭，却有无声的反骨。 两个不合群的人，让一大家子头疼不已，闹剧不断…… 本片改编自郑执创作的短篇小说《仙症》。,https://p0.pipi.cn/basicdata/54ecde330300fa313911e56c4738fae64e276.jpg?imageView2/1/w/464/h/644
头脑特工队2,动画,凯尔西·曼,艾米·波勒 关晓彤 玛雅·霍克 刘易斯·布莱克,2024-06-21,莱利（凯特林·迪亚斯 Kaitlyn Dias 配音）逐渐适应新城市后，乐乐（艾米·波勒 Amy Poehler 配音）、忧忧（菲利丝·史密斯 Phyllis Smith 配音）、怒怒（刘易斯·布莱克 Lewis Black 配音）、怕怕（托尼·海尔 Tony Hale 配音）和厌厌（莉萨·拉皮拉 Liza Lapira 配音）的“脑内生活”也波澜不惊，直到新情绪焦焦（玛雅·霍克 Maya Hawke 配音）从天而降，发掘心中未知的角落，一起感受喜怒哀乐，五味陈杂的百变情绪。,https://p0.pipi.cn/mmdb/54ecde0211eb12d7c3ddd206492ba36fc7569.jpg?imageView2/1/w/464/h/644
大红包2：龙凤呈祥,喜剧 爱情,李克龙,李克龙 李春嫒 阿依帕丽·乌古力 李胤维,2025-01-10,拿不出彩礼娶自己心爱姑娘玉凤的屌丝金龙，意外继承了失踪几十年父亲的上市公司，摇身变成了百亿富翁，从而引发的一出关于真爱探讨的欢乐喜剧。,https://p0.pipi.cn/mediaplus/friday_image_fe/cdf05c143e714d77e13de2e98d9530491a984.jpg?imageView2/1/w/464/h/644
战狼3,动作 爱情 战争,吴京,,,《战狼3》是一部军事题材电影。该片讲述了冷锋深入险境营救爱人的故事，在得知爱人龙小云没死的消息后，冷锋将与雇佣兵展开了一场新的厮杀。,https://p0.pipi.cn/mmdb/fb7386335bfc7e50c8be2ac58d0c8cb870b97.jpg?imageView2/1/w/464/h/644
解密,谍战 奇幻 家庭 历史,陈思诚,刘昊然 约翰·库萨克 陈道明 吴彦祖,2024-08-03,老少咸宜的中国大片！比肩世界的诚意之作！改编自茅盾文学奖获奖者麦家的三部曲（《解密》《暗算》《风声》）中同名小说，讲述了上世纪四十年代与新中国命运息息相关的一位数学天才的传奇一生！本片完全由中国电影人制作，以前所未见的奇观颠覆想象，十场瑰丽梦境带来独属大银幕的视觉震撼，梦境与现实交织，上演一场中美顶级天才的脑力对决。 容金珍（刘昊然 饰）自幼展现出惊人的数学天赋和“释梦能力”，被时任大学校长的小黎黎（吴彦祖 饰）和太太叶筱凝（俞飞鸿 饰）抚养长大。大学入学之际，容金珍因解出数学系老师希伊斯（约翰·库萨克 饰）的难题引人瞩目，701局局长郑某（陈道明 饰）带他走进了神秘组织开启了一段隐姓埋名却惊天动地的解密任务…,https://p0.pipi.cn/mediaplus/friday_image_fe/cdf05c1477e5c277e125ce1e7f548950e9aac.jpg?imageView2/1/w/464/h/644
出不去的房间,惊悚 悬疑,刘方祺,姜贞羽 邹元清 刘敬宇 巩容尔,2024-12-07,闺蜜两人，魂穿密室，极限逃生！ 中国惊悚悬疑电影的探索之作，入围2024布鲁塞尔奇幻电影节WIP单元；2024FIRST电影产业放映单元。 林小楠（姜贞羽 饰）为了帮助挚友陈沫（邹元清 饰）查清埋藏多年的真相，意外通过一个箱子魂穿进入了一座百年老宅。幽暗的房间、神秘的箱子、不完整的全家福、诡异的木雕，每一个房间都暗藏玄机，每一个人都心怀鬼胎。林小楠与陈沫开启极限逃生，这场生死未卜的冒险她们能否活着逃出去……,https://p0.pipi.cn/mediaplus/friday_image_fe/0fa3345bea45c219bfd818bc36b3f933be4cd.jpg?imageView2/1/w/464/h/644
白蛇：缘起,爱情 动画 奇幻,黄家康,张喆 杨天翔 唐小喜,2019-01-11,晚唐年间，国师发动民众大量捕蛇。前去刺杀国师的白蛇意外失忆，被捕蛇村少年阿宣救下。为帮助少女找回记忆，两人踏上了一段冒险旅程。过程中两人感情迅速升温，但少女蛇妖的身份也逐渐显露，另一边国师与蛇族之间不可避免的大战也即将打响，两人的爱情面临着巨大的考验 。,https://p0.pipi.cn/mmdb/54ecde71c7e3389235339e47bb9dbddfedb96.jpg?imageView2/1/w/464/h/644
志愿军3,剧情 历史 战争,陈凯歌,张子枫 陈飞宇 张宥浩 辛柏青,,为纪念抗美援朝战争胜利70周年，《志愿军》三部曲将全景式、多维度立体展现这场新中国的立国之战。 《志愿军》三部曲第三部聚焦抗美援朝战争后半程，战争形成相持局面，美军想要轻易打击志愿军的幻想破灭，拉开双方边打边谈的序幕。板门店谈判、上甘岭战役将有更多新角色出现。,https://p0.pipi.cn/basicdata/54ecde2f06dbe1339e178983dd7853a57c1d3.jpg?imageView2/1/w/464/h/644
市井英雄,剧情 喜剧,刘坤,郭采洁 刘迅 衣云鹤 岳旸,2024-12-14,马力与侯吉均是某个集团下属一个新能源公司的小职员，公司总裁龙百川在公司的“超级电池”项目即将成功时，欲将科研成果占为己有，马力等三人和龙百川以及背后的投资者金先生因此展开了激烈的三方“超级电池”争夺战......影片将“小人物”在社会中的窘迫、尴尬、谦卑、低姿态以及偶尔不太合适的“不自量力”都转化成诙谐的喜剧元素，以“身边感”的动作设计、有梗有包袱的台词创作将其完美诠释，通过幽默的镜头语言刻画出主角的精彩历程，也反映出现实社会中小人物的心酸和社会生态的弊端，引发观众深刻共鸣。《市井英雄》是一部真正意义上“小人物大情怀”、“让人笑中带泪”的现实题材电影。,https://p0.pipi.cn/basicdata/54ecde51dddf2a7e12af33e60c90acd09e9d1.jpg?imageView2/1/w/464/h/644
一闪一闪亮星星,爱情 奇幻,陈小明,屈楚萧 张佳宁 傅菁,2023-12-30,现象级爆款剧集同名电影《一闪一闪亮星星》，原班人马再续纯爱故事，令无数观众翘首以盼的纯爱时空再启，奔赴甜虐暗恋！ 张万森（屈楚萧 饰）计划在高考后向暗恋已久的女生林北星（张佳宁 饰） 表白，突如其来的演唱会事故却让一切变成了一场无可挽回的悲剧，没想到的是，痛苦无助的张万森竟意外重启了这个夏天，再次回到悲剧发生前的林北星身边，而重启夏天的秘密，仿佛没有想象中那么简单……这一次，拼尽全力的张万森能否成功守护林北星，让所有刻骨铭心的遗憾都得以圆满？星河流转中的某个瞬间，青春里的那场绵绵大雪，能不能落在相爱的两人身上？,https://p0.pipi.cn/mmdb/54ecde9a8077e1d7c32ff757f3ba34916f53f.jpg?imageView2/1/w/464/h/644
喜羊羊与灰太狼之守护,热血 冒险 动画,黄俊铭,祖晴 张琳 梁颖,2024-07-19,自然界中的神奇宝石维护着世界的稳定和平，一股神秘力量正蠢蠢欲动，危机四处蔓延。众羊狼与新伙伴再踏上守护世界的征途，争分夺秒与神秘势力的阴谋赛跑，并在一次次的冒险与闯关中共同成长，最终明白了守护的意义。,https://p0.pipi.cn/mmdb/54ecded7338b1239dd030cfbd895da649d2fb.jpg?imageView2/1/w/464/h/644
最后的里程,剧情 悬疑,冢原亚由子,满岛光 冈田将生 藤冈靛 大仓孝二,2024-11-09,11月，即将到来的全球最大购物活动之一“黑色星期五”前夜，发生了一起快递箱爆炸事件。很快，这起事件演变成了让整个日本陷入恐慌的连续爆炸事件。物流仓库的新任主管·舟渡艾蕾娜（满岛光 饰）和团队经理·梨本孔（冈田将生 饰）一同应对这场前所未有的危机！ 是谁？为什么安放炸弹? 剩下的炸弹还有多少？现在在哪里? 物流是现代社会的生命线，如何才能阻止这个连续爆破事件？当谜题被解开时，这个世界所隐藏真面目将浮出水面。,https://p0.pipi.cn/mediaplus/friday_image_fe/cdf05c5c529f878457a219de3e979f65b1cd6.jpg?imageView2/1/w/464/h/644
功夫熊猫4,动画 动作 冒险,迈克·米切尔,杰克·布莱克 黄渤 奥卡菲娜 杨幂,2024-03-22,爷青回！《功夫熊猫》新作来袭！阿宝“升职”同时，新仇旧敌集结现身，大龙竟起死回生？狐狸小真身份神秘，到底有何心机？ 阿宝被师傅要求选出下一任神龙大侠，正苦恼如何应对时，阿宝昔日的手下败将们却纷纷重出江湖！身世神秘的狐狸小真告诉阿宝，这一切的幕后黑手正是邪恶女巫魅影妖后！阿宝能否打败魅影妖后，昔日敌人又为何再次现身？这次又会发生怎样的搞笑趣事？赶快带上亲朋好友，一起到影院寻找真相吧～,https://p0.pipi.cn/mmdb/54ecde71030c7eaf33d7c3024a956ff3f789d.jpg?imageView2/1/w/464/h/644
青春梦,剧情,魏书钧,王鹤棣 张家瑞 佟林楷,,几个男孩来海岛体验生活。他们热爱音乐、怀揣理想，在阳光灿烂的海边嬉戏玩耍、拥抱大海，青春的气息扑面而来。年轻人的总是对世界充满浪漫的想象，这些想象引导着他们体验青春的滋味。,https://p0.pipi.cn/mmdb/54ecdedd80751becd8ecd841f0a7787265470.jpg?imageView2/1/w/464/h/644
