电影名称,类型,导演,演员,上映时间,简介,头图
张杰曜北斗巡回演唱会（舞台纪录电影）,纪录片 音乐,李雨濛,张杰,2024-12-20,内地首部华语演唱会电影开启岁末狂欢，沉浸式影院嗨唱，感受张杰神级现场！ 《张杰曜北斗巡回演唱会》是张杰于2023年8月在北京国家体育场-鸟巢举办的“未·LIVE-「曜·北斗」巡回演唱会”三场收官演唱会的舞台纪录电影。该轮巡演于2021年10月在苏州开启，2023年8月在北京收官，共计13座城市，23场演出，总动员人数超过90万人。电影呈现了国民级歌手张杰演唱会现场的极致舞台，还原万人嗨唱盛况，让观众身临其境地感受LIVE的无限魅力！,https://p0.pipi.cn/mediaplus/friday_image_fe/cdf05c148d36e319bffcf4649f9399064f329.jpg?imageView2/1/w/464/h/644
小小的我,青春 家庭 剧情,杨荔钠,易烊千玺 林晓杰 蒋勤勤 周雨彤,2024-12-27,患有脑瘫的刘春和（易烊千玺 饰）勇敢冲破身心的枷锁，为外婆（林晓杰 饰）圆梦舞台的同时，也弥合了与妈妈（蒋勤勤 饰）的关系，并努力寻求着自己人生的坐标。在经历一个盛夏的蜕变后，他终于踏上了新的旅程。,https://p0.pipi.cn/mediaplus/friday_image_fe/0fa33452bf80514ea98b077dc2ff111e40b25.jpg?imageView2/1/w/464/h/644
名侦探柯南：迷宫的十字路口,动画 冒险 悬疑,儿玉兼嗣,高山南 山崎和佳奈 山口胜平 岩居由希子,2024-12-27,东京、大阪、京都发生了5名男子相继被杀的事件。5人是盯上古美术品的盗窃团“源氏萤”的成员，相互以义经和他的随从的名字称呼。剩下的是义经、弁庆、伊势三郎三人。柯南和被委托解决其他佛像盗窃案的毛利小五郎一起来到京都，遇到了追踪源氏萤事件的服部平次，并开始了行动。但是，服部平次被弓狙击了。为了寻找犯人，两个名侦探在京都的小镇上疾驰。原案协助：奥山丰彦、都筑伸一郎、三上顺一、鸟光裕出品：《名侦探柯南》制作委员会（ 株式会社小学馆、 读卖电视放送株式会社、日本电视放送网株式会社、株式会社小学馆制作、 东宝株式会社、 TMS Entertainment）,https://p0.pipi.cn/mediaplus/bigdata_mmdb_mmdbtask/0fa3345252914d3e7952942f60ca63d429313.jpg?imageView2/1/w/464/h/644
封神第二部：战火西岐,神话 史诗 战争 动作,乌尔善,黄渤 于适 那尔那茜 陈牧驰,2025-01-29,大年初一，开年封神！姜子牙、姬发带队坚守西岐，家园保卫战一触即发！邓婵玉、闻仲奉商王殷寿之命，率魔家四将等殷商大军征伐西岐，西岐一方得殷郊、雷震子、杨戬、哪吒等相助，更聚全民之力守卫家园。兵戈相对、法术交锋，两大阵营掀起强强对决，关于“封神榜” 的争夺正在继续......,https://p0.pipi.cn/mediaplus/friday_image_fe/0fa3345277ebf8160d160d5adcbf963c06244.jpg?imageView2/1/w/464/h/644
破·地狱,剧情 家庭,陈茂贤,黄子华 许冠文 卫诗雅 朱栢康,2024-12-14,婚礼策划师道生（黄子华 饰）因婚礼市场萧条而债台高筑，被迫改行成为葬礼经纪人。红白二事大相径庭，令道生处处碰壁，但最难一关是要得到喃呒师傅文哥（许冠文 饰）的认可。起初因为理念不合，道生与文哥冲突不断，两人的关系岌岌可危。但数次危难时刻文哥的出手相助，以及亲历文哥与女儿文玥（卫诗雅 饰）的相处点滴，道生与文哥之间的心结慢慢解开，也逐渐悟到“破地狱”的真正意义。,https://p0.pipi.cn/mediaplus/friday_image_fe/cdf05c143e78d3fa463f67d4ac40af96e5120.jpg?imageView2/1/w/464/h/644
好东西,剧情 爱情 喜剧 家庭,邵艺辉,宋佳 钟楚曦 章宇 赵又廷,2024-11-22,爱逞强的单亲妈妈王铁梅（宋佳 饰）带小孩王茉莉（曾慕梅 饰）搬到新家，结识了所谓清醒恋爱脑的邻居小叶（钟楚曦 饰）。两位性格迥异的女性，一个坚强，一个柔软，一个擅长给人当妈，一个擅长随时撒谎。面对旧创伤和新挑战，她们彼此温暖互相慰藉。 而围绕王铁梅的两个男人，前夫（赵又廷 饰）不时“添乱”，女儿的鼓手老师（章宇 饰）似乎充满新的可能。作为已经觉醒的女人们和学习过性别议题的男人们，会遇到什么新问题？会如何看待自己和世界？,https://p0.pipi.cn/mediaplus/friday_image_fe/cdf05c5c8b05c26b1b8014449d2ebb6ef8749.jpg?imageView2/1/w/464/h/644
最后的魁拔,动作 动画 奇幻 冒险,王川,刘婧荦,,《最后的魁拔》，由 北京青青树动漫科技有限公司、 霍尔果斯彩条屋影业有限公司联合出品的动画电影已正式启动，正在制作中。2017年11月13日，光线彩条屋影业宣布《 魁拔》系列影片正式重启，并更名为《最后的魁拔》。据悉，这或将成为《魁拔》系列的最终章。《最后的魁拔》首款概念用水墨画风展现了一位赴汤蹈火的英雄形象，与影片标题相呼应：身形已是成年人的主角 蛮吉站在废墟之上，看向手中象征身份的纹耀，表情不得而知。海报背景是 中国风水墨晕染的远山和硝烟，象征着危机四伏。《魁拔》系列中的种种谜团，将在这部电影中悉数得到答案。,https://p0.pipi.cn/basicdata/54ecde2fc7e8d3b860af339c93668375f9524.jpg?imageView2/1/w/464/h/644
误杀3,犯罪 悬疑 剧情,甘剑宇,肖央 佟丽娅 段奕宏 刘雅瑟,2024-12-28,动我女儿？我要你命！ 郑炳睿（肖央 饰）的宝贝女儿婷婷众目睽睽之下，遭神秘绑匪绑架，始终陪伴父女左右的李慧萍（佟丽娅 饰）与他一同展开救女行动。但狡诈绑匪轻松躲避警方负责人张景贤（段奕宏 饰）的密集追捕，更将救女心切的郑、李二人玩弄于股掌之间。绝望间，郑炳睿选择走上了一条通往地狱的救女之路，纵使化身“修罗”也不能放过伤害自己女儿的恶徒！殊不知一场更大的阴谋正在悄然展开，所有卷入其中的人都无法逃脱。,https://p0.pipi.cn/mediaplus/friday_image_fe/cdf05c14d8a77e19bf5c29d5e0c83aa052c5e.jpg?imageView2/1/w/464/h/644
雄狮少年2,动作 喜剧 动画,孙海鹏,李昕 郭皓 陈业雄 蔡欣然,2024-12-14,来上海打工的无名之辈阿娟，为了赚钱给父亲治病，同意代表没落的传武拳馆参加“上海格斗之夜”武术比赛，为此他必须战胜所有的高手、偏见和自己。,https://p0.pipi.cn/mediaplus/friday_image_fe/cdf05c144a114db8193d694790d1e8503d2d4.jpg?imageView2/1/w/464/h/644
狮子王：木法沙传奇,冒险 动作,巴里·詹金斯,亚伦·皮埃尔 张若昀 小凯文·哈里森 张晚意,2024-12-20,回溯传奇狮王辛巴父亲“木法沙”的荣耀之路，揭秘他与迪士尼经典反派“刀疤”（塔卡）之间不为人知的羁绊。一次非凡的相遇，一场改变命运的冒险，当荣耀大地上的一切回到起点，是殊途同归还是背道而驰？这对“狮兄弟”的未来将如何展开？,https://p0.pipi.cn/mediaplus/friday_image_fe/cdf05c145be6e380148b07afb3397b2112bde.jpg?imageView2/1/w/464/h/644
美人鱼的夏天,动画 亲情 成长,沈晓阳,肖小月 林铭轩 李响 刘洁,2024-11-22,"叛逆期人鱼少女小艾离家出走,误入人类世界的奇幻冒险之旅。",https://p0.pipi.cn/mediaplus/friday_image_fe/cdf05c5c4ea52984571fae2d9bb8b21c5929f.jpg?imageView2/1/w/464/h/644
唐探1900,喜剧 动作 悬疑,陈思诚,王宝强 刘昊然 周润发,2025-01-29,十年情怀真诚打造，唐探宇宙口碑佳作！王宝强刘昊然唐人街神探逗笑登场，周润发名场面巅峰演绎神乎其技！欢乐包裹家国情，以“笑”见大有底蕴！ 1900年，在美国旧金山唐人街，美洲原始部落猎人阿鬼(王宝强 饰)与留美青年秦福(刘昊然 饰)因一场凶杀案偶然结识，误打误撞组成“唐人街神探”组合。开启了一场笑闹探案之旅.....,https://p0.pipi.cn/mediaplus/friday_image_fe/0fa334fcea46e315d53de210ad383961d01e4.jpg?imageView2/1/w/464/h/644
毒液：最后一舞,动作 科幻 惊悚,凯莉·马塞尔,汤姆·哈迪 贾冰 切瓦特·埃加福特 朱诺·坦普尔,2024-10-23,超级IP“毒液”迎来系列终章，10月23日全国大银幕上映。被军方神秘研究组织抓捕，刚踏上逃亡之路的毒液与埃迪，又遭遇“共生体之神”纳尔麾下外星异噬体们猎杀，劲敌环伺，毒液百变附体极限突围。毒液与埃迪背水一战，生死难料，而牺牲自己是否会成为拯救对方的唯一方式？,https://p0.pipi.cn/basicdata/54ecde517e192357e2b53559302950e08e4c1.jpg?imageView2/1/w/464/h/644
窗前明月，咣！,喜剧,魏泇丞,费翔 左凌峰 傅菁,2024-12-31,一场约会引发“亿”场乱子，一句谎言牵出“亿”个麻烦； 世界咣咣乱套，不如我先开笑！ 金牌律师胡恭平（费翔 饰）与情人佘小漫（傅菁 饰）幽会时，房间突然天降尸体（宋小宝 饰），胡恭平喊来冤种助理朱士奇（左凌峰 饰）帮忙，却不想惊慌中脱口而出的数个谎言引发了一连串乱子！随着熊大力（马东锡 饰）、林銮凤（黄小蕾 饰）、施诗（史策 饰）等各路“家属”轮番出现，状况不断升级，眼看事情就要败露，这场充满笑料的“事故”将如何收场？,https://p0.pipi.cn/mediaplus/friday_image_fe/0fa33452fcf9a1c7356e38b04f58384cec67a.jpg?imageView2/1/w/464/h/644
不想和你有遗憾,爱情 剧情,蒋钦民,丞磊 索微 罗昭东 栾蕾英,2024-11-30,如果当初再勇敢一点，我们的结局会不会不一样？康赛与活泼开朗的小西一起长大，他偷偷把小西当成了自己创作的灵感缪斯。为写诗康赛跋山涉水，小西也随后寻来，两个人在美丽的阿尔山找到了自己的精神乐园。在环境的改变下，两个人的爱情也面临多方考验。都说相爱可迎万难，但是爱真能赢万难吗，或是真的赢得了对方？,https://p0.pipi.cn/mediaplus/friday_image_fe/cdf05c5cc8b4a1494825cebeb6aac33a66efd.jpg?imageView2/1/w/464/h/644
小倩,动画 爱情,毛启超,边江 张惠霖 陈张太康 张思王之,2024-12-06,改编自蒲松龄《聊斋志异》之《聂小倩》。小倩生前被人所负含恨而终，死后化为女鬼，被姥姥囚禁于兰若寺。恰逢书生宁生进京赶考，借宿此地，意外救下小倩。逃亡途中，两人不断遭遇人间及地府势力的阻挠，却也在此般经历中感情升温。宁生带着小倩感受了人间美好，小倩决心还阳，却在到达鬼市后发现事情远没有这么简单……,https://p0.pipi.cn/mediaplus/bigdata_mmdb_mmdbtask/cdf05c140516e3e32701e850acefb68857076.jpg?imageView2/1/w/464/h/644
不说话的爱,剧情,沙漠,张艺兴 李珞桉 黄尧 安沺,2025-04-03,改编自感动百万人的催泪短片！聋人小马 （张艺兴 饰）和女儿木木（李珞桉 饰）彼此为伴，小孩姐木木是家里的“顶梁柱”，替爸爸和外界沟通，帮爸爸接活赚钱。然而随着木木的长大，她必须要融入听人的世界，两人形影不离的生活即将被打破。就在此时，一个专门利用聋人犯罪的团伙盯上了小马，爱女心切的他一步步被骗入了犯罪的深渊.....,https://p0.pipi.cn/mediaplus/friday_image_fe/0fa3343d5bef87c7354ea9b04f58384c7dca7.jpg?imageView2/1/w/464/h/644
“骗骗”喜欢你,喜剧 爱情,苏彪,金晨 孙阳 李雪琴 王皓,2024-12-31,金晨孙阳银幕二搭演绎“骗中骗”，好笑100%，好颠100%❤️ 打工女孩林晴朗（金晨 饰）被渣男张子骏（王皓 饰）欺骗，一夜之间甜蜜誓言变成201314元巨额债务。诈骗头子欧阳晖（孙阳 饰）的意外出现，给林晴朗的生活带来新的转机，两人联合“碰碰车车神”董晓惠（李雪琴 饰）、“骗场老炮”柏仕通（王耀庆 饰）设局开团，与张子骏斗智斗勇。一对“欢喜冤家”，一队“骗子天团”，一场“骗爱游戏”，结局将何去何从……,https://p0.pipi.cn/mediaplus/friday_image_fe/0fa3343d3e777eb8198014d20e2fbc64f9f17.jpeg?imageView2/1/w/464/h/644
熊猫计划,喜剧 动作,张栾,糊糊 成龙 魏翔 史策,2024-10-01,超萌超可爱的主人公熊猫幼崽被国际功夫巨星Jackie认养，满心期待开启新生活。然而，呼呼独有的“大小眼”特别基因却被国际犯罪组织盯上了，组织首领不惜悬赏雇佣兵一亿美金发起了一场熊猫抢夺战。,https://p0.pipi.cn/mediaplus/bigdata_mmdb_mmdbtask/0fa3344e52915d8d3efa46722f33a03cd356d.jpg?imageView2/1/w/464/h/644
蜡笔小新：我们的恐龙日记,动画 冒险,佐佐木忍,小林由美子 楢桥 美纪 森川智之 北村匠海,2024-11-23,《蜡笔小新：我们的恐龙日记》讲述了在野原新之助的五岁暑假，东京新开了一个现代复活恐龙的主题公园，迎来了前所未有的恐龙热潮。而在春日部河滩旁，小白也偶遇到了一个新朋友——纳纳，随着春日部防卫队和纳纳的相处，恐龙公园背后的真相也随之揭露，巨大恐龙突然暴走街头，这次他们能否成功化解危机呢？,https://p0.pipi.cn/mediaplus/friday_image_fe/cdf05c5c8d38d3b819d8181470d6f6d2d36de.jpg?imageView2/1/w/464/h/644
射雕英雄传：侠之大者,武侠,徐克,肖战 庄达菲 梁家辉 张文昕,2025-01-29,恩怨情仇的江湖，权势角力的战乱时代，郭靖（肖战 饰）童年离别家乡，逐渐炼就可改变局面和命运的庞大力量。虽受高人赏识和器重，得传天下绝世武功“九阴真经”和“降龙十八掌”，却惹来各方嫉忌，成为众矢之的。 郭靖，不亢不卑，怀赤子之心，与黄蓉（庄达菲 饰）在铁骑箭雨和硝烟旌旗中，力挽狂澜，保护南宋边关。 雕海苍穹，勇者无惧，侠之大者，力拔山河，成就武林传说。 本片主要改编自金庸同名原著第34至40章。,https://p0.pipi.cn/mediaplus/friday_image_fe/0fa334528454a1d8a114dc5395b63779d82b5.jpeg?imageView2/1/w/464/h/644
今年二十二,纪录片,倪萌,徐必成 罗思源 林恒 蒋涛,2024-12-06,这是一个关于青春、梦想与使命的故事。 在一个炎热的夏天，22位职业电竞选手接到征召，平均年龄恰好22岁的他们将在训练营选拔，最终只有6个人可以脱颖而出，代表中国电竞征战杭州亚运会，过程有遗憾，有不甘，有收获。 最终，6名平均年龄22岁的电竞运动员参加2023年杭州亚运会，他们是一个个普通的少年，却又因为电竞变得不再普通。 片名《今年二十二》，不只是一个数字上的巧合，也代指了一种态度，一种青春的态度与勇气，一种你、我、每个人都曾经历过的，热烈而蓬勃的青春物语。,https://p0.pipi.cn/mediaplus/friday_image_fe/cdf05c5cb8177ece6309c396e01421c76b45f.jpg?imageView2/1/w/464/h/644
志愿军：存亡之战,剧情 战争,陈凯歌,朱一龙 辛柏青 张子枫 朱亚文,2024-09-30,陈凯歌执导，《志愿军》三部曲第二部《志愿军：存亡之战》将聚焦铁原阻击战。震撼巨制还原铁原硝烟，铁血不灭谱写英雄故事，一场存亡之战，一支英雄铁军！ 抗美援朝战争第五次战役的转移阶段，铁原阻击战正式打响，中国人民志愿军第63军2.5万将士与近5万“联合国军”展开激战。志愿军将士们浴血奋战，终于把敌军打上了谈判桌。 面前，武装到牙齿的敌军步步迫近；身后，是数十万正在转移的主力部队，生死存亡，在此一战。 1个小时，敌军的4500吨炮弹向我军一个师的阵地倾泻而至，12昼夜，步坦炮协同的敌军数次冲锋……志愿军战士们发扬“钉子战术”，把自己变成一根钉子，狠狠地钉在阵地上！暗藏机巧的防御工事，神出鬼没的地道突袭，招招见血的贴身肉搏，“人在阵地在”的誓言响彻铁原战场，63军全体将士一起，在铁原构成了一道冲不破的“铁长城”。,https://p0.pipi.cn/mediaplus/friday_image_fe/0fa3343d3e7e32f87b3de2e6aeda5e867425b.jpg?imageView2/1/w/464/h/644
魔法坏女巫,奇幻 歌舞 爱情,朱浩伟,Ariana Grande 辛西娅·埃里沃 伊桑·斯莱特 乔纳森·贝利,2024-12-06,电影《魔法坏女巫》讲述了奥兹国两位女巫鲜为人知的成长故事。因绿色皮肤而备受误解的艾芙芭（辛西娅·埃里沃 饰）与光彩夺目、野心勃勃的格琳达（阿里安娜·格兰德 饰）在西兹大学结识，性格迥异的二人却建立起了深厚的友谊。然而，随着与奥兹国大巫师的邂逅，她们的友谊走向十字路口，二人面临着截然不同的命运之路。这段奇幻冒险揭示了友谊、力量与自我发现的真谛。,https://p0.pipi.cn/mediaplus/friday_image_fe/cdf05c14fcf8d3ac6c5c292f7d6ef44975077.jpg?imageView2/1/w/464/h/644
因果报应,剧情 悬疑 动作,尼蒂兰·萨米纳坦,维杰·西图帕提 阿努拉格·卡施亚普 玛玛塔·莫汉达斯 Nataraja Subramanian,2024-11-29,年度悬疑神作，高能复仇爽片！理发师玛哈拉贾大闹警局，悬赏70万要为一个价值300的垃圾桶立案。众人疑惑之际，才发觉玛哈拉贾来警局另有目的……当女儿被恶人残忍迫害，真相与正义似乎无处可寻，憨厚老实的底层父亲只能以身设局，用剃须刀杀出一条复仇血路。永远不要低估一个父亲为女儿复仇的决心！,https://p0.pipi.cn/mediaplus/friday_image_fe/cdf05c143d6ea478b1c8be9bff9f43e3c7da2.jpg?imageView2/1/w/464/h/644
孤星计划,谍战 剧情 悬疑,徐展雄,王源 张雪迎 梁靖康 李晨,2024-12-07,绝密！！撤离计划被泄露，谁是内鬼？谍战悬疑反转10+次！全员上演谍海计中计！！ 据内部情报，行动计划遭遇泄密导致伤亡惨重，幸存者李一民（王源 饰）被敌方抓获，无法确认其是否叛变。 经查证，李一民曾经的同学丁梦华（张雪迎 饰）、许天平（梁靖康 饰）在行动中与其有过密切接触，二人与敌方也有着秘密联络，目前我方已严密布控，监测二人的行踪。 内鬼是否在他们之中？ 现请示上级：李一民是否可以信任？撤离行动是否继续进行？......,https://p0.pipi.cn/mediaplus/friday_image_fe/cdf05c1425cea401e84a18cada94e2f5aa82f.jpeg?imageView2/1/w/464/h/644
哪吒之魔童闹海,喜剧 剧情 动画,饺子,吕艳婷 瀚墨 囧森瑟夫 绿绮,2025-01-29,天劫之后，哪吒、敖丙的灵魂虽保住了，但肉身很快会魂飞魄散。太乙真人打算用七色宝莲给二人重塑肉身。但是在重塑肉身的过程中却遇到重重困难，哪吒、敖丙的命运将走向何方？,https://p0.pipi.cn/mediaplus/friday_image_fe/0fa334520515c28b0793b67ea7fad03b546ff.jpg?imageView2/1/w/464/h/644
唐人街探案4,喜剧 悬疑,陈思诚,王宝强 刘昊然 刘德华 本尼迪克特·康伯巴奇,,在今日召开的第20届全国院线国产影片推介会上，陈思诚宣布科幻片《外太空的莫扎特》2021年暑期档上映，并要拍摄外太空三部曲《外太空的肖邦》《外太空的莫奈》。此外，还会有《唐人街探案4》和《唐人街探案5》。,https://p0.pipi.cn/basicdata/54ecde2fe7a0e1338f67cbb4d058178a90c61.jpg?imageView2/1/w/464/h/644
封神第一部,神话 动作 史诗,乌尔善,费翔 李雪健 黄渤 于适,2023-07-20,《封神第一部》讲述商王殷寿勾结狐妖妲己，暴虐无道，引发天谴。昆仑仙人姜子牙携“封神榜”下山，寻找天下共主，以救苍生。西伯侯之子姬发逐渐发现殷寿的本来面目，反出朝歌。各方势力暗流涌动，风云变幻端倪初显……三千年想象成真，恢弘史诗再创新，见证中国神话崛起！,https://p0.pipi.cn/mediaplus/friday_image_fe/0fa3343d3e7ea48b073cbcc679c26c2f0189a.jpg?imageView2/1/w/464/h/644
误判,剧情 动作,甄子丹,甄子丹 张智霖 许冠文 吴镇宇,2024-12-27,根据真实案件改编！一次误判就会摧毁一个家庭，甄子丹化身文武双“拳”检控官为正义鸣冤！ 一起贩毒冤案让被告人面临27年牢狱之灾，曾是干探的检控官霍子豪（甄子丹 饰）凭其敏锐触觉和执着，抽丝剥茧展开调查，明面上的口舌之争，暗地里的殊死搏斗一触即发，最终庭审日在即，霍子豪能否击碎不公，极限翻案？,https://p0.pipi.cn/mediaplus/friday_image_fe/cdf05c1415d14dc8be3e7952a209bb0524e73.jpeg?imageView2/1/w/464/h/644
哈利·波特与死亡圣器（下）,奇幻 冒险,大卫·叶茨,丹尼尔·雷德克里夫 艾玛·沃特森 鲁伯特·格林特 海伦娜·伯翰·卡特,2011-08-04,《哈利·波特与死亡圣器（下）》是“哈利·波特”系列电影的最后冒险。这部备受期待的电影是大结局两部曲的下部。在史诗般的结局中，魔法世界善恶力量之间的战斗升级为一场全面战争。赌注从未如此之高，没有人是安全的。但随着与伏地魔对决的高潮逐渐临近，哈利·波特可能必须要做出最终的牺牲。 一切都将在这里结束。,https://p0.pipi.cn/basicdata/54ecdedd7a3b127a35395bed2463201d3c342.jpg?imageView2/1/w/464/h/644
名侦探柯南：百万美元的五棱星,动画 冒险 动作,永冈智佳,高山南 山崎和佳奈 小山力也 山口胜平,2024-08-16,怪盗基德的预告信出现在了北海道函馆，斧江财阀的收藏库中。这次基德将要盗走的是，江戸幕府时期新选组副长土方岁三的日本刀。向来追逐奢华宝石的怪盗基德，居然会看上刀？ 此时，被称作西部名侦探的服部平次和柯南一行人，也因为剑道大会来到了函馆，在基德执行预告的当日，平次看穿了基德的伪装并对其穷追不舍！ 同一时间，一具尸体在函馆仓库街被发现，尸体的胸口有一个十字伤口。搜查中，出现了一位被叫做“死之商人”的活跃于亚洲一带的美籍日裔军火商。这个人一直在寻找斧江家初代家主藏在函馆的宝藏。斧江家江戸幕府战争时代深耕军需产业，传说那宝藏是能扭转幕末纷争的强力武器，而这宝藏似乎和基德追逐欲盗取的刀有着千丝万缕的联系。在基德瞄准刀的同时，有一位剑士也在向基德逼近……,https://p0.pipi.cn/basicdata/54ecde330faf2ac7ed338ff5e29ae967d4121.jpg?imageView2/1/w/464/h/644
749局,科幻 冒险 动作 青春,陆川,王俊凯 苗苗 郑恺 任敏,2024-10-01,故事发生在近未来，因为未知神秘生物的出现，导致整个城市面临前所未有的危机。一桩被隐藏多年的秘密计划浮出水面。少年马山被带入749局，进入层层迷宫，开启一程冒险之旅，并在这一旅程中完成了一次自我的成长与救赎。影片既有紧张刺激的神秘元素、又有热血澎湃的动作场面、也展现了热血青春的浪漫情怀。,https://p0.pipi.cn/basicdata/54ecdedd7a35bf9ab42c9550523bf47a5aec0.jpg?imageView2/1/w/464/h/644
大场面,喜剧 灾难,李季,王天放 马旭东 管乐 酷酷的滕,2024-09-15,踩着真雷了怎么办？在线等，挺急的！ 领导踩雷了，随时都会爆的真地雷。是救人还是甩锅？是报警还是甩锅？是排雷还是甩锅？不背锅更要甩锅，不扛雷还要甩锅，一人踩雷，全员崩溃。这颗雷，一定会爆。这个大场面，谁也别想跑……,https://p0.pipi.cn/basicdata/54ecdedd0fab12c7edb8603746e6e69ab1aaa.jpg?imageView2/1/w/464/h/644
熊出没·重启未来,动画 喜剧 科幻,林永长,张伟 熊大 张秉君,2025-01-29,熊大、熊二、光头强意外地和来自未来世界的小亮一起穿越到100年后：世界发生巨大灾变，孢子植物全面侵占，人类在末日中艰难求生，整个地球危在旦夕！而这一切的罪魁祸首竟是……光头强？！ 100年前究竟发生了什么？小亮是敌是友？光头强为何背负恶名？人类命运最终会走向何方？熊强三人组能否穿透这层层迷雾，重启未来？,https://p0.pipi.cn/mediaplus/friday_image_fe/0fa334520516e35c293e79c1b2c4ffbc62f79.jpg?imageView2/1/w/464/h/644
海洋奇缘2,冒险 喜剧 动画,小戴维·G·德瑞克,奥丽伊·卡瓦洛 道恩·强森 瑞秋·豪斯,2024-11-29,接收到来自远古祖先的神秘召唤，作为寻路人的莫阿娜将与半神毛伊以及一群新伙伴们，再度扬帆远航。他们将驶向遥远的大洋洲，深入危机四伏、失落已久的水域，迎接一场前所未有的全新冒险。,https://p0.pipi.cn/mediaplus/friday_image_fe/cdf05c5cd8a9a178b109c369cb0341a4a96db.jpg?imageView2/1/w/464/h/644
胜券在握,剧情,刘循子墨,邓超 邓家佳 郑云龙 喻恩泰,2024-11-15,科技公司11号员工白胜（邓超 饰），不仅背负百万债务还惨遭公司裁员。已经没什么可以失去的他决定和公司斗一斗，如何才能在公司苟住100天并最终赢回属于自己的800万期权？ 第一步：重返公司。精心准备一个创业骗局，这一次，不做员工要当老板。 第二步：组建自己的团队。队友方方（邓家佳 饰）、哈雷（柯达 饰）、强尼（李乃文 饰）来相助，临时搭起的草台班子也能掀翻公司吗？ 第三步：披荆斩棘。负责裁员的张见（张本煜 饰）多番阻挠，还派来监事周望高（郑云龙 饰）时刻盯着白胜。笑面虎任远劳（喻恩泰 饰）怎么才能为白胜所用？催债的郝大哥（杨皓宇 饰）是阻力还是助力？ 第四步，暂时还没有思路......没关系，很多事装着装着就真成了。 吃瓜暂停，白胜究竟能否拿回800万？,https://p0.pipi.cn/mediaplus/friday_image_fe/0fa334fc6e38d393b6c73503660c64cdbcdaf.jpg?imageView2/1/w/464/h/644
鸳鸯楼·惊魂,惊悚 恐怖 悬疑,王晟赫,李梦 苏小玎 刘迅 海陆,2024-10-31,恐怖浓度超标！极致沉浸惊悚！闺蜜复仇爽感爆棚！你敢来吗？ 一群心怀鬼胎的人被巨额保金诱惑，住进了阴森“鬼”楼。楼内诡事频发，冥婚拜堂、厉婴啼哭不休、墙上莫名的血脚印，一切宛如噩梦狠狠缠绕众人！沈言（李梦 饰）对男友刘振中（苏小玎 饰）温柔体贴却另有企图，而看似老实的刘振中也藏着秘密。苏杰克（刘迅 饰）、张辰（海陆 饰）与鸳鸯楼“厕所产子”传闻的女主人公封雪晴（赵樱子 饰）三人之间存在一段难以释怀的过往，就连楼内看似普通的保安叶凡（薛元清 饰）也卷入这个恐怖漩涡无法逃脱……头七回魂夜，怨魂归来审判渣男，他们不得不直面自己曾犯下的罪过，一场酣畅淋漓的复仇戏码悄然上演！,https://p0.pipi.cn/mediaplus/friday_image_fe/0fa3343d3e714d77e16cb4c9c465bf854d96f.jpg?imageView2/1/w/464/h/644
乔妍的心事,剧情 悬疑,赵德胤,赵丽颖 辛芷蕾 黄觉 宝石Gem,2024-10-26,边陲小镇长大的乔妍（赵丽颖 饰）打拼多年之后成为了一名知名演员，但在重重压力之下，一路走来小心翼翼。随着一条匿名的勒索消息，让一桩尘封往事成为她新的阴影。同时，多年前失联的姐姐（辛芷蕾 饰）突然现身，事情看似巧合，但背后又暗藏更大的危机。 影片改编自张悦然的小说《大乔小乔》。,https://p0.pipi.cn/mmdb/54ecdedd87a51bbe1251babed44c120bb813d.jpg?imageView2/1/w/464/h/644
